num;titel;title_no_number;summary;duration;published
506;MBMBaM 506: The Enchanted Horn of American Heroism;The Enchanted Horn of American Heroism;<p>Okay, we know we just had a non-standard 500th episode celebration, but as luck would have it, THIS episode also marks 10 years of us in the podcastin’ business. So, yes, Justin sings the song again. (Also, we’ve got new art, courtesy of the very talented Sarah McKay!)</p><p>Suggested talking points: ZOLO Memories, Feline Sex Den, American Hero Horn, Play Along At Home (Sorry),Teleconference Mirror World, Healing and Growth Squad</p>;3665;2020-04-13 16:00:08+00:00
505;MBMBaM 505: Slippery When Voltron;Slippery When Voltron;<p>In today’s episode, we set a new record for Lack of Commitment to an Opening Bit — a record whose previous holders include … let’s see here … oh, it’s us! The list just says us, like, fifty times.</p><p>Suggested talking points: Hot Gin, Sonic’s Sacrifice, Timesheet Secrets, Bathroom Investigations, Goldfish Punishment, Large Old Pizza News, Titanic Kaiju</p>;3344;2020-04-06 16:00:02+00:00
;FEED DROP - The Besties Play Animal Crossing: New Horizons!;FEED DROP - The Besties Play Animal Crossing: New Horizons!;"<p>This isn't an episode of MBMBaM, but hey! Every living human being on Earth is talking about this game, so we decided to toss our Besties discussion here on the MBMBaM feed! (Don't fret -- this isn't taking the place of a MBMBaM; it's back Monday!)</p><p>The Besties is a gaming podcast featuring Justin, Griffin, and Polygon co-founders Chris Plante and Russ Frushtick. We've been doing the show for a while, but only recently relaunched as a Spotify Original! You can follow the show for free at Besties.fan.</p>";2669;2020-04-01 18:00:14+00:00
504;MBMBaM 504: The Nasty Buns;The Nasty Buns;<p>In which we find a hero in these trying times: A hero with a cybernetic, socially-conscious snake and a land speed rivaling a mid-2010s Toyota Corolla.</p><p>Suggested talking points: Look to Britney, Porch-Stable Food, Angel Babysitter, In My Lungs, Unfortunate Grocery Replacements, Burritoing with Gronk, Duck Interpreter</p>;3390;2020-03-30 16:00:03+00:00
503;MBMBaM 503: How to Get Away with Pinkbelly;How to Get Away with Pinkbelly;<p>Listen, y’all. There’s only one way that we’re getting through this thing, and I think we all know exactly what way I’m talking about. It is imperative, now more than ever, that we get Richard Gere to be a top-tier YouTuber.</p><p>Suggested talking points: What’s Funny?!, Lying Ants, Snip Tunes, Roughhousing, Netflix Prophecies, Liminal Chalupa</p>;3193;2020-03-24 19:25:35+00:00
502;MBMBaM 502: American Psycho 2: The Squeakquel;American Psycho 2: The Squeakquel;"<p>(Note: This was going to be our kick-off episode for the MaxFunDrive, which has been postponed. We've cut most of the drive-talk out of the episode -- hence the shorter-than-usual runtime and occasional pauses. Hang in there, y'all.)</p><p>Join us as we open up the My Brother, My Brother and Me book to a brand new chapter; one celebrating lifestyle brand innovations and, well, cool orbs. </p><p>Suggested talking points: Gotta Touch These Orbs, Justin Clears His Conscience, The Last Beheading Day, Ancient Grains Ready to Rip, Please Don’t Tell Pigeons About Farms, Snack’n Bac’n</p>";2764;2020-03-16 16:00:05+00:00
501;MBMBaM 501: Face 2 Face: Jeans-Washed Acid;Face 2 Face: Jeans-Washed Acid;<p>We’re currently sailing the high seas, searching for adventure on that big blue horizon. So, while we do that, here’s a live show we recently did in Cincinnati. (Griffin's doing fine, by the way. You'll understand why you might want that update a few minutes into the episode.)</p>;4587;2020-03-09 16:00:02+00:00
500;MBMBaM 500: Spaghettageddon Two: 2 Saucy, 2 Carbious;Spaghettageddon Two: 2 Saucy, 2 Carbious;<p>So, before setting any expectations based on the title of the episode, know this: Ten years later, our bodies respond to spaghetti-loading SUPER differently. </p><p>We all recorded this one together, and mostly spent it talking to our various family members, but also there are two impromptu musical numbers and a fierce competition of athletic prowess, so, yeah. Thank you all so much for sharing this past decade with us. You’ve changed our lives irrevocably, and there’s no way we’ll be able to repay that kindness in our lifetimes, so instead, we just ate a bunch of pasta and recorded it for you.</p>;3640;2020-03-02 17:00:11+00:00
499;MBMBaM 499: Right Down the Middle;Right Down the Middle;<p>THIS IS A NORMAL EPISODE. Please do not come into this one thinking we’re doing some kind of pre-500 celebration, or something. It’s NORMAL. There is NOTHING that sets it apart from all the other episodes. OKAY?</p><p>Suggested talking points: No Ramp Up, Soda Bag, Paul’s Finest Grape Cake, Bee Purple, Fall Off The Bone Love, Halftime Korn, Poker Griefing</p>;3562;2020-02-24 17:00:14+00:00
498;MBMBaM 498: Single Sleeved Sweater;Single Sleeved Sweater;<p>The energy in this one … is difficult to describe. Was it a result of us recording back-to-back episodes during a busy pre-travel prep session? Yes. Was it also the result of a soft and extremely haunted homunculus that now dwells with — and within — Justin? Definitely, yes, for sure.</p><p>Suggested talking points: Slim Leads, Nutzack, Buzz’s Space Car, Bum Bum, Stink Sniper, Average Erotic Wine Stopper, Living Pinecones</p>;3343;2020-02-17 18:00:13+00:00
497;MBMBaM 497: Bugatti Boys;Bugatti Boys;<p>We’ve officially polished all the rough edges out of this weekly entertainment product that we’ve been making for like 10 calendar years. We’re nearly ready to enter our Closed Beta phase, which basically means we’ve stopped talking about bidets so much.</p><p>Suggested talking points: Relatable Content, Accidental Lunch Thief, Perfect Farmwear, Animal Trivia, Nude Changeover, Val Kilmer’s Kickass Bat Wine, Genuine Sports Humor, Do Not Go In There</p>;3540;2020-02-10 22:17:22+00:00
496;MBMBaM 496: The Hyena Hole;The Hyena Hole;<p>Listen folks, because this is the last time we’re gonna say this: Hyenas go in the Hyena Hole. Please, PLEASE stop putting non-hyena things into the Hyena Hole. You’re disrupting the whole circle of life, and also, you’re REALLY riling up all the hyenas.</p><p>Suggested talking points: Earnest Hogback, The Masked Listener, Pie Perversion, The Saltiest Chili, Football Twins, Part of Zoo.</p>;3132;2020-02-03 18:59:25+00:00
495;MBMBaM 495: Play Along at Home!;Play Along at Home!;<p>You’re gonna have some questions after the new segment in today’s episode. Only one man has the answers. His name is Travis, and also when we said he has the answers, that’s actually not gonna be true a lot of the time.</p> <p>Suggested talking points: Laughter and Love Challenge, Cole Slaw Juice, Brutalist Cup Design, Pizza Box Repair, Travis Takes a Big Swing at a New Bit, RIP Nut, Sky Pipes</p>;3404;2020-01-27 21:20:00+00:00
494;MBMBaM 494: Face 2 Face: Hoops Destruct Button;Face 2 Face: Hoops Destruct Button;<p>We’re still on hiatus while Travis celebrates the miracle of life, but we’ll be back with a proper new episode next week! In the meantime, please enjoy another of our live performances at the King’s Theater in Brooklyn!</p>;4327;2020-01-20 17:00:00+00:00
493;MBMBaM 493: Face 2 Face: U Up?;Face 2 Face: U Up?;<p>Travis and Teresa have CREATED NEW LIFE, so we’re taking this week off to celebrate. In lieu of a regular episode, please enjoy our recent romp in our nation’s capital!!</p>;4680;2020-01-13 17:11:15+00:00
492;MBMBaM 492: The Naming of 2020;The Naming of 2020;<p>It has arrived. Our annual opportunity to place a steady hand upon the rudder of the new year is here, and boy howdy, it’s a big one. Twenty-Twenty?! It’s the same thing twice! Is that anything? Please? We’re spiraling.</p> <p>Suggested talking points: Down to Beesness, Tenure at Cool University, Lunch Smell, Faded at Spangles</p>;3168;2020-01-06 16:23:38+00:00
491;"MBMBaM 491: Face2Face; Candlenights 2019";"Face2Face; Candlenights 2019";<p>Happy Candlenights my friends! It's time once more for our annual Huntington pilgrimage! Enjoy!</p> <p>Suggested Talking Points: It's Candlenights!</p>;4068;2019-12-23 20:52:48+00:00
490;MBMBaM 490: Ewdaddy;Ewdaddy;<p>What is … flavor? What defines the essence of an object’s true, unambiguous taste? Is flavor, perhaps, in the tongue of the food-haver? Also, mind if we sprinkle a little bit of dirt on this lasagna?</p> <p>Suggested talking points: Log Recommendations, A Whole Nut?, That One’s Spice, The Bad Boy of Sudoku, Mike’s Secret Milkshake, Potions and Chili, Cool Whip Mysteries</p>;3267;2019-12-16 19:38:33+00:00
489;MBMBaM 489: The Clean Saloon;The Clean Saloon;<p>Well, it finally happened. We got bit by the Broadway bug. Time to raise our anchors and set sail toward the warm, inviting waters of professional musical theater. Don’t try and change our minds — we have become Daddy Warbucks, and Daddy Warbucks don’t podcast.</p> <p>Suggested talking points: Broadway Babies, Drinking Horn, Laserking, Fakin’ It, Pocket Watch Counterweight, Hats off to Christmas, A Good 9 and a Half, Peanuts on the Floor</p>;3376;2019-12-09 20:35:05+00:00
488;MBMBaM 488: Huff the Un-Foot;Huff the Un-Foot;<p>We want you to come inside of our home — the one we all actually share together — to meet our new, government-mandated bird friends. Sure, the audio quality of this show is gonna take a dive, but when you see their horrible, shriveled faces, it’s still absolutely not going to be worth it.</p><p>Suggested talking points: Turkey House, Open the Glottis, Justin’s Cooking Class, Neutral Gifts, Bush Squirrel, Thanksgiving Pizza, A Lengthy Discussion of Butch.</p>;3930;2019-12-02 16:21:46+00:00
487;MBMBaM 487: Frasier Crane’s Anime Dreamscape;Frasier Crane’s Anime Dreamscape;<p>Step inside the mind of the mind-reader himself (who is Frasier) as we pitch our bold new vision for Frasier. In this one, Frasier’s getting nasty, and we’re not willing to negotiate on that point, so don’t bother asking.</p> <p> </p> <p>Suggested talking points: Guiding Lights, Donuts with Morrie, Frasier’s World, Reach for the Stars, Fumanji Jizz Mist, Eight Words a Day, A Call from the Dogman</p>;3717;2019-11-25 16:43:57+00:00
486;MBMBaM 486: That’s So Hambone!;That’s So Hambone!;<p>Hello! We’ve safely returned from the concluding show of the Become the Monster tour. We are weary, but we also didn’t want to put up another live episode, so we like … just recorded a new one. It’s wild, we think. It was all a blur. Comin’ in hot!</p> <p>Suggested talking points: Magic Al the Fleshmancer, Working Less, Two-Timing Dog, Day One Costume, Flamin’ Ice Cream, Nude Rider, Intermediary Brothers</p>;3560;2019-11-19 22:40:11+00:00
485;MBMBaM 485: Face 2 Face: Haunted Munch Squad;Face 2 Face: Haunted Munch Squad;<p>It happened. Well, a few things happened. One, we did a show in Orlando to make up for the time we had to cancel a show earlier this year. Two, in said show, Justin finally crossed the streams of his two wildly popular segments. Three, capitalism got the shot in the arm it’s needed for some time now. You’re welcome, everyone!</p>;4727;2019-11-12 19:26:22+00:00
484;MBMBaM 484: Griffy Griffy Bang Bang;Griffy Griffy Bang Bang;<p>In which we realize the scope of our commitment in promising to send a horse to college, and then determine an extremely powerful and highly lucrative name for the aforementioned horse.</p> <p>Suggested talking points: Halloween Delay, Candy Potluck, Happy Birthday Ronald, Medicine Blintz, We’re Sending a Horse to College, Ding Dong Speed Strats, Car Expertise</p>;3541;2019-11-04 18:09:49+00:00
483;MBMBaM 483: Face 2 Face: Beemen;Face 2 Face: Beemen;<p>We’re taking a sick week and tossing up another live show from our most recent tour: Our maiden voyage to the good city Philadelphia. Unfortunately, we left that city worse off than we found it -- which is to say, covered in Beemen. We assume we will not be invited back.</p>;4241;2019-10-28 16:37:25+00:00
482;MBMBaM 482: Face 2 Face: Big Stitch Energy;Face 2 Face: Big Stitch Energy;<p>Enjoy our most recent show from the gorgeous Kings Theater in Brooklyn, complete with a musical introduction from Lin and a cameo appearance by a guy who we are like — for real now — about 81 percent certain was Matt Doyle.</p>;4586;2019-10-21 17:07:54+00:00
481;MBMBaM 481: I Have Seen Every Bird;I Have Seen Every Bird;<p>Look, the title ain’t lying, and you’d have no way of proving it if it were. One of us has seen every bird, full stop. We’re the new high score on the birdwatcher leaderboard, and who’s gonna argue against that? The birds? Probably not the birds.</p> <p>Suggested talking points: Spookily, Raccoon Trash Strats (feat. John Hodgman), Dickbilled Priebus, Freakied and Fridayed, Ammunition for the Soda Wars</p>;3574;2019-10-14 17:02:53+00:00
480;MBMBaM 480: Everlasting Stringburger;Everlasting Stringburger;"<p>There’s only one surprisingly proportioned beef sandwich capable of stitching up the wide wounds carved across human civilization; and we’re the ones to invent it. (Not cook it, mind you. Good lord, we cannot fathom how to go about cooking Longburger. God, the logistics are dizzying.)</p> <p>Suggested talking points: Mars 2113, Moon Germany, Oops All Croutons!, Great Sturg’ Spots, Haunted House Acting, Morgue Benefits, The Longburger</p>";3760;2019-10-08 18:48:45+00:00
479;MBMBaM 479: Face 2 Face: A Spectral, Horny Build-A-Bear;Face 2 Face: A Spectral, Horny Build-A-Bear;<p>This live show, from our recent tour stop in Pittsburgh, will probably go down in history as “the one where we unknowingly distributed 100 KFC Doughnut Chicken Sandwiches to our audience, who, for some reason did not instantly turn against us.” We like to think of it … well, we don’t like to think of it. We did an unconscionable thing to you, our dear, dear listeners.</p>;4657;2019-09-30 17:42:09+00:00
478;MBMBaM 478: The Sprite Slide, A Sprite Experience;The Sprite Slide, A Sprite Experience;<p>Who’s lookin’ to get sticky sticky sticky in the hot hot sun? Come on down to Spriteland and get WILD with all your carbonated buds! We got lazy rivers just chock-full of this clear stuff, and boy, the bees are just, really y’all, it’s really … there’s a lot of bees.</p> <p>Suggested talking points: The Coldest Chili, Adult Trampoline Center, Sticky Amusement Park, Pizz-It!, Thanks Alexa, Fun Food for Fun Guys</p>;3721;2019-09-23 21:27:32+00:00
477;MBMBaM 477: Crash Bandicoot’s Wallet Chain;Crash Bandicoot’s Wallet Chain;<p>If you open yourself up to it, love can find you in the strangest of places. In the meat aging attic. In Crash Bandicoot’s loaded back pocket. Or, in an unassuming serving of customizable, hastily baked authentic Italian pasta. Come, have a bowl. Reconnect.</p> <p>Suggested talking points: Old Beef Jokes, Sporf, Damien Adultduck, The Raw Voice, Brown Sonic, Veggie Extravaganza, Tom Orrow, The Inside of Superman’s Mouth and Butt</p>;3341;2019-09-17 15:18:39+00:00
476;MBMBaM 476: Face 2 Face: Super-Snake Begins;Face 2 Face: Super-Snake Begins;<p>We’re returning from a big, wild family vacation, and so we present to you our big, wild live show from Atlanta! We performed it last weekend, back when we were SO jacked up on Coca-Cola that a beam of brown, carbonated energy shot out of our chest and blew a hole in the ceiling. You probably read about it in the newspapers.</p>;4355;2019-09-09 16:13:07+00:00
475;MBMBaM 475: Edchup;Edchup;<p>For millennia, mankind has searched for what could be universally considered the worst, yuckiest, most profane, most inscrutable condiment to ever exist, or ever would exist, forever and ever. We’re pleased to announce: The search is over.</p> <p>Suggested talking points: Joker Watch, Pennysweets, Flesh Bottle, A New Possum Kingdom, Briefcase Use Case, Hummus Smuggler</p>;3564;2019-09-02 16:00:00+00:00
474;MBMBaM 474: OutSTANDing Deals!;OutSTANDing Deals!;<p>Throw on your largest, most profane novelty T-Shirt and crack open a cold, fresh bottle of Old El Paso — it’s jokes time again!</p> <p>Suggested talking points: Gridiron Wisdom, Feature Length Texts, What to Wear to Cave, Big Johnson, The Great Coupon Heist, Travis’ Falsified Book Report Service</p>;3429;2019-08-26 16:56:07+00:00
473;MBMBaM 473: Spooketti;Spooketti;<p>Hey, Summer! Come over here for a second! We want to talk to you about … the beach. All the beach stuff we want to do during you, Summer. What’s that bear trap doing on the ground? Why’s Autumn hiding behind us with a big net in its hand? Don’t worry about that, Summer. Just … come over here for a sec, will ya?</p> <p>Suggested talking points: Backpack Shopping, LASIK Check-In, Master Chief Lessons for Baby Boomers, Ghost Rider vs. Everyone, Pasta 4 Life, Ranch Mouth, Get Sticky Off It</p>;3249;2019-08-19 18:08:45+00:00
472;MBMBaM 472: Public Domain LASIK Voicemails;Public Domain LASIK Voicemails;<p>We have been smashed to pieces by our recent viewing of Hobbs and Shaw, which may explain the somewhat punch-drunk nature of today’s episode. It’s also possible we’ve been sprayed with some kind of Jason Statham neurotoxin. In either case: Enjoy!</p> <p>Suggested talking points: 5DXXX, Neighbor Lube, Buying Money, Potential Golf Family, Secret Chicken Debut, Chinning, Fun Facts</p>;3670;2019-08-12 21:29:31+00:00
471;MBMBaM 471: Face 2 Face: The Fraternity of Bones;Face 2 Face: The Fraternity of Bones;<p>We spent pretty much all of last week on Island Time, which means we didn’t have time to record our japes and post them online for you, our dear friends. Instead, please enjoy this VILE episode that we did in Cleveland, a city that we ruined, with our filth.</p>;3972;2019-08-05 16:34:54+00:00
470;MBMBaM 470: Mama Freddy’s Turbo Spaghetti;Mama Freddy’s Turbo Spaghetti;<p>In today’s episode, we stumble upon a new motto, a new personal mantra to guide us into the new Roarin’ 20s — but, unfortunately, it has a cuss in it. And we’re not sure if we’re allowed to put cusses in this description. We’re gonna go ask iTunes if we can cuss, BRB.</p> <p>Suggested talking points: San Diego Discomfort Con, Two-Step Tip, Edible Tattoos, Dirty Dog Pizza, The Bell Hotel, Beast Food</p>;3692;2019-07-29 15:36:15+00:00
469;MBMBaM 469: Face 2 Face: The DEEP Pepperoni;Face 2 Face: The DEEP Pepperoni;<p>We’re heading back from book tour, making this the perfect time for us to deploy our recent live show from lovely, soggy Indianapolis. Join us for discussions on Real Life Vape Dads, and see Justin and Travis fuse into a hive mind while discussing practical pepperoni applications.</p>;4341;2019-07-22 16:28:12+00:00
468;MBMBaM 468: Down the Soda Hole;Down the Soda Hole;<p>According to our editing software, this one is about 55 minutes long. Which is strange, because while we were recording in the Standing Energy Time Dilation Plane, it seemed a whole lot longer than that.</p> <p>Suggested talking points: Standing Energy, Joe vs. Unassigned Carbon, Jelly Bean Pouch, Secret Donuts, Unfireable (w/ Guestpert Laura Kate Dale!), A Hospital for Humans and Birds</p>;3281;2019-07-15 15:00:52+00:00
467;MBMBaM 467: Leonardo Di-Zap!-rio;Leonardo Di-Zap!-rio;<p>Friends! We have a question for you: How many hot dogs did YOU eated last week? Did you do the most, out of everyone? Please tell us if you did the most, so we can give you the biggest trophy. Also, Jesse Eisenberg is in this one.</p> <p> </p> <p>Suggested talking points: Caesar Salad Contest, Viral Mom, Crush the Trash Real Small, Teen Donuts, Pee Mail (w/ Guestpert Jesse Eisenberg), Hermit Crab Distinction, Hair Ownership</p>;3490;2019-07-08 17:39:08+00:00
466;MBMBaM 466: Food Train;Food Train;<p>All Aboard*! The Food Train’s pulling into the station, and its sixty robot chefs are prepared to meet your every culinary desire! (* - Do not board the Food Train under any circumstances. Your body will be annihilated.)</p> <p> </p> <p>Suggested talking points: Songland, Stealing a Big Lamp, The Scullery, Vacation Clothes, Reba Mayo, Intangible Cutsies</p>;3721;2019-07-01 17:42:36+00:00
465;MBMBaM 465: It’s Definitely Chodezilla;It’s Definitely Chodezilla;<p>Catching the brunt of cold and flu season, which might be happening right now, we haven’t checked? Sounds like you need to up your daily intake of Vitamin Cheese. GOTTA get that good stuff in your bones.</p> <p> </p> <p>Suggested talking points: BO Doctors, The Fussy Man, Weed Boy, Birthday Role-play, Donuts and to the Left, Pigland, Shaqaroni</p>;3565;2019-06-24 22:21:53+00:00
464;MBMBaM 464: Face 2 Face: Peace with the Ground-Children;Face 2 Face: Peace with the Ground-Children;<p>We bumped the Grand Ole Opry from the Ryman lineup to present our own twisted, skewed comedy to the fine folks of Nashville, Tennessee. It was a momentous show, if only for the fact that we finally struck an accord with the Sky-Warriors, and put a climactic end to our centuries-long, unbelievably costly battle.</p>;4122;2019-06-18 16:50:39+00:00
463;MBMBaM 463: Stranger Creams;Stranger Creams;<p>We believe in all our listeners’ ability to enjoy the summer responsibly and jubilantly. BUT. You wanna push that stuff Over the Top? You wanna get wiiiiiiild? Then you’ve GOT to get this episode into your life.</p> <p>Suggested talking points: Summer Preview 2019, Daddy’s Favorite Box, Elephant Heaven, Damages, Demogorgon Desserts, Popcorn Hat, Fried Secrets</p>;3494;2019-06-10 17:27:03+00:00
462;MBMBaM 462: The Pork Doctor;The Pork Doctor;<p>Well, we did the damn thing again. We went ahead and spent a half hour talking about Garfield. We know. It’s done, though. The episode’s already finished, and this is it, and it’s got a full 30 minutes of Garfield in there. Better luck next time.</p> <p>Suggested talking points: Number 38, Pork Scenes, TV Talk, Belly Pudding, 50 Riddles to Defeat Anxiety, The Complete Garfield Dining Experience</p>;3694;2019-06-03 17:09:06+00:00
461;MBMBaM 461: All Rise!;All Rise!;<p>On today’s episode, we spend a while getting PUMPED for all the GREAT new television shows we’ll get to watch this year, then introduce our backdoor pilot for a food delivery brand that can transform into a bazooka-wielding beast-monster. Hollywood, you know how to reach us.</p> <p>Suggested talking points: Pilot Season 2019, Cool Forklift Stunts, Three-Fight Deal, Beastmates, Dantown, War Gunk, Noise Funk</p>;3477;2019-05-28 19:23:26+00:00
460;MBMBaM 460: Dr. Praetorium’s Fudge-a-matorium;Dr. Praetorium’s Fudge-a-matorium;<p>Today’s episode is ALL about dad-hacks, which is to say, how to hack your dad and make him buy you AS MANY expensive fish tanks as you want. We won’t lie: It’s not gonna be easy. But when you’ve got your hands on one of these big, aquatic beauties, you’ll know it was all worth it.</p> <p>Suggested talking points: We The Fans, Fungus Medicine Theft, Authentic Egg Stink, Ancient Chocolates, The Earl of Earl of Sandwich, Travis Tritt’s Fish n’ Shits, Anarchist Ellen</p>;3274;2019-05-21 15:08:32+00:00
459;MBMBaM 459: Face 2 Face: You Know, Like Eggs?;Face 2 Face: You Know, Like Eggs?;<p>We’re scattered hither and yon this week, so here’s our recent live show from the Shire-esque paradise known as Salt Lake City. Join us for discussions of homemade knives, skull-based fighting techniques and, hands down, the yuckiest Munch Squad ever.</p>;4260;2019-05-13 18:45:20+00:00
458;MBMBaM 458: Race Island: A Horse Show;Race Island: A Horse Show;<p>A criminal crime happened in front of a breathless nation, and we’re just supposed to sit back and just like, celebrate a weak horse? This will not stand. We will not stand for it.</p> <p>Suggested talking point: A Robbery on the Racetrack, Darth Navarro, Batilda, Big Awesome Bones, Wet and International Hamburgers, Susan Office, A Thrifty Snip</p>;3662;2019-05-06 18:03:49+00:00
457;MBMBaM 457: Wake Up and Smell The Future, It’s Time For Beanjuice;Wake Up and Smell The Future, It’s Time For Beanjuice;<p>Wake Up and Smell The Future, It’s Time For Beanjuice™! Grind up the day! Here is Beanjuice™. It is an exciting opportunity: A contest, maybe! But one thing’s for sure: High-end luxury, and youth, and it’s not the stuff that’s left over in a can of beans, so please stop telling people that.</p> <p>Suggested talking points: Beanjuice™, Amateur Panera Bread Server, Jerry Seinfeld: Latency-free Gamer, Off to See the Lizard, Rob Lowe’s Murderglobes, Accidental Butt Smack</p>;3354;2019-04-29 17:19:05+00:00
456;MBMBaM 456: Good Happy Taste!!!;Good Happy Taste!!!;<p>Keep your head on a swivel as we celebrate this birthday season, because there’s a LOT OF STUFF out to get us. Fridge traps, Cager the Basketball Monster, Minecraft Spiders — just, like, look lively, friends.</p> <p>Suggested talking points: Creams and Cakes, Birthday Boy Billy, Guinea Pig Brother, Fridge Epidemic, Disrespectful Hoops, Happy Taste Good, Joe’s Apartment But With Spiders, Boo Club</p>;3544;2019-04-22 16:58:55+00:00
455;MBMBaM 455: Fear Sponging Material;Fear Sponging Material;<p>Take a load off, friends. We know you’ve got your fair share of worries — heck, we all do. We’re here for you! Just whisper ‘em right here, right up our shirt sleeve. Let the shirt do the rest.</p> <p>Suggested talking points: The Taxmen Cameth, The Good New Art, Moto Dog, Ticket to Family, Cavemans, Pretzel Abominations, Bustin’ In, Koi Care</p>;3185;2019-04-15 15:41:44+00:00
454;MBMBaM 454: Face 2 Face: April Foods’ Day;Face 2 Face: April Foods’ Day;<p>We apologize to the city of San Jose for how many pranks we did on this episode, in which we celebrated the Great Pranking Day while recording a live show. If you want to be similarly pranked, good news! This episode also has details on the Become the Monster tour, coming (maybe) to a city near you!</p>;4529;2019-04-08 17:26:44+00:00
453;MBMBaM 453: The Grotto of Gains;The Grotto of Gains;<p>Wow, oh boy, do we hope you love benign observational humor. Oh jeez. We’ve really put all our chips down on benign observational humor, and if that doesn’t pay off — yikes! We’re gonna lose our shirts!</p> <p>Suggested talking points: PGA Street Ball, Owl Trust, Bug Armor, Emergency Greeting Card, Jacked Triton, A Wet Edible Aggro Crag, Candy Boss, The Ravioli Beast</p>;3806;2019-04-01 15:23:34+00:00
452;MBMBaM 452: The Cornbread Heist of the Century;The Cornbread Heist of the Century;<p>It’s week two of the MaxFunDrive, and already we’re looking for ways to boost our bottom line on the off chance this whole operation goes off the rails. If you see that sweet yellow bread sailing through the clouds, you’ll know our mission was a success.</p> <p>Suggested talking points: Shazam-Watch, Serve Yourself, Pet Crocodile, Hammy Sagar, The P’Zone Cometh, The Point of Bubble Baths, Cornbread Drones, Whoopie Cushion Strategy Guide</p>;3764;2019-03-25 16:59:38+00:00
451;MBMBaM 451: Spider-Man’s Magic Potion;Spider-Man’s Magic Potion;<p>Happy MaxFunDrive, everybody! We’re kicking things off with a genuine POTION PARTY! Come and get strong and fast and powerful with us, and consider kicking in a donation while you’re at it! This potion’s for you!</p> <p>Suggested talking points: The Piper, Surprise Bonus Fish, Big Monster Wheel Power Boy, My Foul Lady, Guy-Pounded Chicken, The Best Potion, Orgling, DVD Dead Drops</p>;3624;2019-03-18 16:00:00+00:00
450;MBMBaM 450: Face 2 Face: The Emoji Contract;Face 2 Face: The Emoji Contract;<p>We’re currently setting sail, looking for ancient treasures and sunken artifacts on the Atlantic Ocean on the JoCo Cruise! In the meantime, enjoy our recent live show from New Orleans! This episode is NOT HAUNTED.</p>;4298;2019-03-11 16:00:00+00:00
449;MBMBaM 449: The Cable Pie;The Cable Pie;<p>Just in case you happen to physically see us sometime in the next few months, you might want to listen to this one, just to explain the beautiful, grime-free spaces between our pressure-blasted choppers. Gosh. GOSH, those teeth spaces, though.</p> <p>Suggested talking points: Waterpik Watch, Breakfast Break and Enter, Nintendo Nephew Dog, Romance Novel Deception, Jim Carrey Party, Farm Wisdom: Down Under,  Karaoke Lessons</p>;3482;2019-03-04 18:58:52+00:00
448;MBMBaM 448: Bird Words;Bird Words;<p>This episode features some of the narrowest narrow-casting yet recorded in human history, which is to say: If you’ve got a science report about Birds due at school tomorrow morning, we’ve absolutely got you on this one.</p> <p>Suggested talking points: Justin’s Soundboard, Snowblower Preferences, Hot Grapes?, Eight Paper Towel Rolls, Moist Magazines, AI Taxi, 50 Avian Descriptors</p>;3713;2019-02-25 17:46:40+00:00
447;MBMBaM 447: Valentine’s Escape Room;Valentine’s Escape Room;<p>You love this episode.</p> <p>Suggested talking points: Love Podcast Episode, Risky Card Reuse, Pepsi’s Vegetables, Little Secrets, Bach Lyrics, Cuisines, Pizzies, References</p>;3451;2019-02-18 14:09:12+00:00
446;MBMBaM 446: Face 2 Face: The Cupture;Face 2 Face: The Cupture;<p>Here’s our live show, presented before a profoundly rowdy Birmingham audience, in which sensitive issues are discussed. Drink deeply of this episode, lapping its precious nutrients out of the palm of our upturned hands.</p>;3761;2019-02-12 18:43:22+00:00
445;MBMBaM 445: Pizzalicious Turbo-Moths;Pizzalicious Turbo-Moths;<p>This episode is all about food mistakes, which -- you know, we could save a lot of time writing these descriptions if we just used that as a boilerplate for every episode. This, and all episodes: Food mistakes.</p> <p>Suggested talking points: 200 Convo Starties for Guys, Raccoon Ciabatta, Wingilingus, My Body is My Dad, Navigational Woes, Hole Uncle, Foodlifting</p> <p> </p>;3448;2019-02-04 17:12:43+00:00
444;MBMBaM 444: The 100 Wishes of the Pandemonium Cube;The 100 Wishes of the Pandemonium Cube;<p>So, you think you’re tough enough to crack on into the Pandemonium Cube? Huh! Well, I hope you enjoy being a skeleton, because that’s what you’re gonna be after you fail to open the Pandemonium Cube — a SKELETON.</p> <p>Suggested talking points: They Shall Not Grow Old Watch, Sora’s Savior, Burrito Love Discount, Dream Commercials, “Secret Shopping”, Say It With Donuts, Haircut Convo</p>;3342;2019-01-28 18:28:49+00:00
443;MBMBaM 443: Face 2 Face: Apple Time!;Face 2 Face: Apple Time!;<p>Live from Podcon 2, it’s half an episode of MBMBaM! And then half an episode of non-live MBMBaM, just to give you a well-rounded hour-long podcast listening experience! Get It! Apple Time!</p>;3668;2019-01-22 20:33:57+00:00
